datetime,value
1413331200,3
1413327120,2
1413326700,2
1413326460,2
1413326100,1
1413325500,1
1413325260,1
1413321780,1
1413321480,1
1413319980,1
1413318720,1
1413315900,1
1413315360,1
1413315240,2
1413315000,1
1413314580,1
1413314400,2
1413314100,1
1413313860,2
1413313200,1
1413312540,1
1413312300,1
1413311820,1
1413311760,1
1413311700,1
1413311640,1
1413311580,1
1413311520,2
1413311400,1
1413311040,1
1413310980,1
1413310740,1
1413310500,1
1413310380,1
1413310260,1
1413310200,3
1413310020,1
1413309900,1
1413309780,1
1413309600,2
1413309420,1
1413309360,1
1413309120,1
1413309000,1
1413308700,1
1413308580,1
1413308520,1
1413308460,1
1413308400,1
1413308340,1
1413308280,3
1413308220,1
1413308100,1
1413307920,1
1413307860,1
1413307800,2
1413307740,1
1413307680,6
1413307620,7
1413307560,1
1413307500,4
1413307440,2
1413307380,1
1413307260,1
1413307200,1
1413307140,1
1413307080,1
1413307020,1
1413306900,1
1413306780,1
1413306660,1
1413306600,2
1413306540,1
1413306480,1
1413306420,3
1413306360,1
1413306240,1
1413306000,1
1413305940,6
1413305880,2
1413305820,1
1413305760,3
1413305700,4
1413305640,3
1413305580,1
1413305520,1
1413305460,1
1413305400,1
1413305340,5
1413305280,2
1413305220,1
1413305100,4
1413305040,1
1413304980,2
1413304920,1
1413304860,1
1413304740,2
1413304680,3
1413304620,1
1413304560,1
1413304500,1
1413304380,3
1413304320,5
1413304200,8
1413304140,2
1413304080,3
1413304020,2
1413303960,2
1413303900,3
1413303840,2
1413303780,2
1413303720,2
1413303660,2
1413303600,3
1413303540,2
1413303420,2
1413303360,5
1413303300,17
1413303240,2
1413303180,2
1413303120,3
1413303060,1
1413302940,1
1413302880,4
1413302820,1
1413302760,1
1413302700,1
1413302640,1
1413302580,6
1413302520,5
1413302460,5
1413302400,23
1413302340,3
1413302280,4
1413302220,2
1413302160,2
1413302100,3
1413302040,1
1413301980,3
1413301920,7
1413301860,8
1413301800,4
1413301740,5
1413301620,2
1413301560,2
1413301500,10
1413301440,7
1413301380,5
1413301320,3
1413301260,1
1413301200,6
1413301140,5
1413301080,8
1413301020,3
1413300960,3
1413300900,4
1413300840,7
1413300780,7
1413300720,5
1413300660,2
1413300600,27
1413300540,4
1413300480,4
1413300420,2
1413300360,4
1413300300,7
1413300240,2
1413300180,4
1413300120,5
1413300060,3
1413300000,4
1413299940,5
1413299880,2
1413299820,9
1413299760,7
1413299700,17
1413299640,2
1413299580,4
1413299520,3
1413299460,1
1413299400,1
1413299340,1
1413299280,3
1413299220,4
1413299160,1
